Country,Year,Predicted_Share
Grenada,2026,10.552767892140146
Grenada,2027,10.58598661875873
Grenada,2028,10.610919748462953
Grenada,2029,10.62748330666698
Grenada,2030,10.637386446256558
Guatemala,2020,64.26391208853083
Guatemala,2021,64.40743119457785
Guatemala,2022,64.5475142890713
Guatemala,2023,64.65299741833587
Guatemala,2024,64.71731178746137
Guatemala,2025,64.74837956463115
Guatemala,2026,64.75863614968051
Guatemala,2027,64.75879325184789
Guatemala,2028,64.75564308909365
Guatemala,2029,64.75243952515468
Guatemala,2030,64.75020464623306
Guinea,2020,73.55348768412652
Guinea,2021,74.17938923716066
Guinea,2022,75.09553078419646
Guinea,2023,76.11421531124714
Guinea,2024,77.07101826272603
Guinea,2025,77.8617340206527
Guinea,2026,78.44857113656343
Guinea,2027,78.84437272083325
Guinea,2028,79.08882385949002
Guinea,2029,79.22778551232764
Guinea,2030,79.30075992815478
Guinea-Bissau,2020,87.08948660388927
Guinea-Bissau,2021,87.40665146357236
Guinea-Bissau,2022,87.72327375667093
Guinea-Bissau,2023,87.99642571342231
Guinea-Bissau,2024,88.20597924599357
Guinea-Bissau,2025,88.35134111496066
Guinea-Bissau,2026,88.4435465785014
Guinea-Bissau,2027,88.4974849492211
Guinea-Bissau,2028,88.5267859080033
Guinea-Bissau,2029,88.5416546989274
Guinea-Bissau,2030,88.54873871992494
Guyana,2020,23.065823376312256
Guyana,2021,23.939714324751662
Guyana,2022,24.8483756913443
Guyana,2023,25.679437117072993
Guyana,2024,26.365719711932094
Guyana,2025,26.884195797553428
Guyana,2026,27.245186849754553
Guyana,2027,27.477836695054926
Guyana,2028,27.617002944308965
Guyana,2029,27.69440700330641
Guyana,2030,27.73448605606062
Haiti,2020,77.04716376987895
